Ameya Pawar,Rory A. Fiedler,prec_id
95,19,C01047
295,42,C02047
290,79,C03047
238,55,C04047
222,31,C05047
184,37,C06047
179,34,C07047
236,47,C08047
146,27,C09047
238,28,C10047
131,36,C11047
261,26,C12047
214,46,C13047
211,55,C14047
211,54,C15047
251,56,C16047
175,59,C17047
185,41,C18047
197,48,C19047
217,68,C20047
205,49,C21047
246,67,C22047
187,36,C23047
174,26,C24047
185,39,C25047
208,35,C26047
179,38,C27047
256,47,C28047
215,45,C29047
207,49,C30047
209,35,C31047
239,35,C32047
200,19,C33047
270,36,C34047
200,43,C35047
250,41,C36047
233,50,C37047
217,32,C38047
248,36,C39047
247,73,C40047
246,42,C41047
194,40,C42047
185,29,C43047
176,49,C44047
216,55,C45047
185,72,C46047
184,62,C47047
37,7,C48047
