prec_id,"Fletcher L. Hartsell, Jr.",election
cabarrus_43868,1102,nc_state_senate_district_36
cabarrus_43839,376,nc_state_senate_district_36
cabarrus_44174,608,nc_state_senate_district_36
cabarrus_43838,902,nc_state_senate_district_36
cabarrus_44173,274,nc_state_senate_district_36
cabarrus_43864,1569,nc_state_senate_district_36
cabarrus_43863,1236,nc_state_senate_district_36
cabarrus_36586,1215,nc_state_senate_district_36
cabarrus_43870,1441,nc_state_senate_district_36
cabarrus_43834,1243,nc_state_senate_district_36
cabarrus_43837,910,nc_state_senate_district_36
cabarrus_44172,130,nc_state_senate_district_36
cabarrus_44177,564,nc_state_senate_district_36
cabarrus_44175,417,nc_state_senate_district_36
cabarrus_ONESTOP,42,nc_state_senate_district_36
cabarrus_44166,152,nc_state_senate_district_36
cabarrus_44167,321,nc_state_senate_district_36
cabarrus_43836,979,nc_state_senate_district_36
cabarrus_44171,424,nc_state_senate_district_36
cabarrus_43869,1419,nc_state_senate_district_36
cabarrus_43840,826,nc_state_senate_district_36
cabarrus_43928,593,nc_state_senate_district_36
cabarrus_36800,1581,nc_state_senate_district_36
cabarrus_44168,650,nc_state_senate_district_36
cabarrus_44169,646,nc_state_senate_district_36
cabarrus_43926,354,nc_state_senate_district_36
cabarrus_43929,474,nc_state_senate_district_36
cabarrus_43927,400,nc_state_senate_district_36
cabarrus_43866,1360,nc_state_senate_district_36
cabarrus_43925,364,nc_state_senate_district_36
cabarrus_43867,755,nc_state_senate_district_36
cabarrus_43832,772,nc_state_senate_district_36
cabarrus_43922,703,nc_state_senate_district_36
cabarrus_44176,407,nc_state_senate_district_36
cabarrus_43923,562,nc_state_senate_district_36
cabarrus_43930,906,nc_state_senate_district_36
cabarrus_44170,819,nc_state_senate_district_36
cabarrus_43862,785,nc_state_senate_district_36
cabarrus_44136,1030,nc_state_senate_district_36
cabarrus_44137,961,nc_state_senate_district_36
cabarrus_43931,1053,nc_state_senate_district_36
cabarrus_36647,935,nc_state_senate_district_36
cabarrus_36739,1344,nc_state_senate_district_36
cabarrus_36770,823,nc_state_senate_district_36
cabarrus_36678,770,nc_state_senate_district_36
cabarrus_43924,774,nc_state_senate_district_36
cabarrus_36708,408,nc_state_senate_district_36
union_ONESTOP,0,nc_state_senate_district_36
union_12,914,nc_state_senate_district_36
union_037B,636,nc_state_senate_district_36
union_32,1114,nc_state_senate_district_36
union_35,729,nc_state_senate_district_36
