label,time,mle_phc_mse,mean_phc_mse,phc_granularity,n_steps,scorer,kernel
1_1,2363.765307426453,0.12250000000000055,0.1119,10,1000,prob,hmc
1_2,971.0192637443542,0.27624998867511763,0.2339,10,1000,prob,hmc
2_1,1253.728304862976,0.0658333305517833,0.0392,10,1000,prob,hmc
2_2,1113.939274628957,0.1979166631400585,0.2879,10,1000,prob,hmc
3_1,710.383846282959,0.062499997615814235,0.0851,10,1000,prob,hmc
3_2,641.3495527108512,0.021249999552965183,0.0311,10,1000,prob,hmc
1_1,66.88528904914855,0.0725000038594009,0.0645,10,1000,expec,hmc
1_2,66.89142823219301,0.3262499946355821,0.2977,10,1000,expec,hmc
2_1,66.52752876281738,0.15049999850988402,0.1025,10,1000,expec,hmc
2_2,66.48923063278197,0.051249994635582115,0.0331,10,1000,expec,hmc
3_1,66.73147711753845,0.012499996423721595,0.0251,10,1000,expec,hmc
3_2,68.71937837600709,0.02124999985098839,0.0327,10,1000,expec,hmc
