label,time,mle_phc_mse,mean_phc_mse,phc_granularity,n_steps,kernel
1_1,278.7961,0.2125,0.2125,10,1000,prob
1_2,121.7805,0.1462,0.1462,10,1000,prob
2_1,161.3856,0.0625,0.0625,10,1000,prob
2_2,143.3614,0.0162,0.0162,10,1000,prob
3_1,85.451,0.0625,0.0625,10,1000,prob
3_2,73.7169,0.2413,0.2413,10,1000,prob
1_1,26206.2664,0.1168,0.1168,100,1000,prob
1_2,8688.8182,0.0876,0.0876,100,1000,prob
2_1,14839.9089,0.0522,0.0522,100,1000,prob
2_2,12406.1474,0.0352,0.0352,100,1000,prob
3_1,6496.2049,0.0781,0.0781,100,1000,prob
3_2,6171.4175,0.1921,0.1921,100,1000,prob
1_1,2698.0366,0.2525,0.2525,10,10000,prob
1_2,1190.9839,0.0062,0.0062,10,10000,prob
2_1,1496.4504,0.1325,0.1325,10,10000,prob
2_2,1418.3957,0.0062,0.0062,10,10000,prob
3_1,874.6798,0.0925,0.0925,10,10000,prob
3_2,820.064,0.1712,0.1712,10,10000,prob
1_1,17.6172,0.1158,0.1825,10,1000,expec
1_2,17.6489,0.0362,0.0362,10,1000,expec
2_1,16.7197,0.1258,0.2092,10,1000,expec
2_2,16.503,0.1062,0.1062,10,1000,expec
3_1,16.6309,0.0392,0.0392,10,1000,expec
3_2,17.1568,0.5262,0.5262,10,1000,expec
1_1,733.3777,0.0739,0.0739,100,1000,expec
1_2,725.9847,0.0111,0.0111,100,1000,expec
2_1,727.2388,0.1298,0.1298,100,1000,expec
2_2,722.3091,0.4098,0.4098,100,1000,expec
3_1,729.284,0.0633,0.0633,100,1000,expec
3_2,721.8541,0.0018,0.0018,100,1000,expec
1_1,153.4124,0.0825,0.0258,10,10000,expec
1_2,151.0056,0.0062,0.0062,10,10000,expec
2_1,150.8916,0.1225,0.0692,10,10000,expec
2_2,150.7159,0.0813,0.0813,10,10000,expec
3_1,150.4812,0.0458,0.0458,10,10000,expec
3_2,151.1887,0.0362,0.0362,10,10000,expec
